scenario,jour,minute,power_W
Foyer_Modeste,1,372,0.001
Foyer_Modeste,1,373,0.001
Foyer_Modeste,1,374,0.001
Foyer_Modeste,1,375,0.001
Foyer_Modeste,1,376,0.001
Foyer_Modeste,1,377,0.001
Foyer_Modeste,1,378,0.001
Foyer_Modeste,1,379,0.001
Foyer_Modeste,1,380,0.001
Foyer_Modeste,1,381,0.001
Foyer_Modeste,1,382,0.001
Foyer_Modeste,1,383,0.001
Foyer_Modeste,1,384,0.001
Foyer_Modeste,1,385,0.001
Foyer_Modeste,1,386,0.001
Foyer_Modeste,1,387,0.001
Foyer_Modeste,1,388,0.001
Foyer_Modeste,1,389,0.001
Foyer_Modeste,1,390,0.001
Foyer_Modeste,1,391,0.001
Foyer_Modeste,1,392,0.001
Foyer_Modeste,1,393,0.001
Foyer_Modeste,1,394,0.001
Foyer_Modeste,1,395,0.001
Foyer_Modeste,1,396,0.001
Foyer_Modeste,1,397,0.001
Foyer_Modeste,1,398,0.001
Foyer_Modeste,1,399,0.001
Foyer_Modeste,1,400,0.001
Foyer_Modeste,1,401,0.001
Foyer_Modeste,1,402,0.001
Foyer_Modeste,1,403,0.001
Foyer_Modeste,1,404,0.001
Foyer_Modeste,1,405,0.001
Foyer_Modeste,1,406,0.001
Foyer_Modeste,1,407,0.001
Foyer_Modeste,1,408,0.001
Foyer_Modeste,1,409,0.001
Foyer_Modeste,1,410,0.001
Foyer_Modeste,1,411,0.001
Foyer_Modeste,1,412,0.001
Foyer_Modeste,1,413,0.001
Foyer_Modeste,1,414,0.001
Foyer_Modeste,1,415,0.001
Foyer_Modeste,1,416,0.001
Foyer_Modeste,1,417,0.001
Foyer_Modeste,1,418,0.001
Foyer_Modeste,1,419,0.001
Foyer_Modeste,1,420,0.001
Foyer_Modeste,1,421,0.001
Foyer_Modeste,1,422,0.001
Foyer_Modeste,1,423,0.001
Foyer_Modeste,1,424,0.001
Foyer_Modeste,1,425,0.001
Foyer_Modeste,1,426,0.001
Foyer_Modeste,1,427,0.001
Foyer_Modeste,1,428,0.001
Foyer_Modeste,1,429,0.001
Foyer_Modeste,1,430,0.001
Foyer_Modeste,1,431,0.001
Foyer_Modeste,1,432,0.001
Foyer_Modeste,1,433,0.001
Foyer_Modeste,1,434,0.001
Foyer_Modeste,1,435,0.001
Foyer_Modeste,1,436,0.001
Foyer_Modeste,1,437,0.001
Foyer_Modeste,1,438,0.001
Foyer_Modeste,1,439,0.001
Foyer_Modeste,1,440,0.001
Foyer_Modeste,1,441,0.001
Foyer_Modeste,1,442,0.001
Foyer_Modeste,1,443,0.001
Foyer_Modeste,1,444,0.001
Foyer_Modeste,1,445,0.001
Foyer_Modeste,1,446,0.001
Foyer_Modeste,1,447,0.001
Foyer_Modeste,1,448,0.001
Foyer_Modeste,1,449,0.001
Foyer_Modeste,1,450,0.001
Foyer_Modeste,1,451,0.001
Foyer_Modeste,1,452,0.001
Foyer_Modeste,1,453,0.001
Foyer_Modeste,1,454,0.001
Foyer_Modeste,1,455,0.001
Foyer_Modeste,1,456,0.001
Foyer_Modeste,1,457,0.001
Foyer_Modeste,1,458,0.001
Foyer_Modeste,1,459,0.001
Foyer_Modeste,1,460,0.001
Foyer_Modeste,1,461,0.001
Foyer_Modeste,1,462,0.001
Foyer_Modeste,1,463,0.001
Foyer_Modeste,1,464,0.001
Foyer_Modeste,1,465,0.001
Foyer_Modeste,1,466,0.001
Foyer_Modeste,1,467,0.001
Foyer_Modeste,1,468,0.001
Foyer_Modeste,1,469,0.001
Foyer_Modeste,1,470,0.001
Foyer_Modeste,1,471,0.001
Foyer_Modeste,1,472,0.001
Foyer_Modeste,1,473,0.001
Foyer_Modeste,1,474,0.001
Foyer_Modeste,1,475,0.001
Foyer_Modeste,1,476,0.001
Foyer_Modeste,1,477,0.001
Foyer_Modeste,1,478,0.001
Foyer_Modeste,1,479,0.001
Foyer_Modeste,1,480,0.001
Foyer_Modeste,1,481,0.001
Foyer_Modeste,1,482,0.001
Foyer_Modeste,1,483,0.001
Foyer_Modeste,1,484,0.001
Foyer_Modeste,1,485,0.001
Foyer_Modeste,1,486,0.001
Foyer_Modeste,1,487,0.001
Foyer_Modeste,1,488,0.001
Foyer_Modeste,1,489,0.001
Foyer_Modeste,1,490,0.001
