scenario,jour,bloc_30min,power_W,Wh_bloc
Foyer_Aise,6,30,208.06848589190352,104.03424294595176
Foyer_Aise,6,31,236.62489382716683,118.31244691358341
Foyer_Aise,6,32,190.5152869266368,95.2576434633184
Foyer_Aise,6,33,187.10214368071178,93.55107184035589
Foyer_Aise,6,34,47.920403442264714,23.960201721132357
Foyer_Aise,6,35,78.93519158685662,39.46759579342831
Foyer_Aise,6,36,178.99333468376287,89.49666734188143
Foyer_Aise,6,37,293.8146593664165,146.90732968320825
Foyer_Aise,6,38,336.5547012541887,168.27735062709436
Foyer_Aise,6,39,334.9486274909386,167.4743137454693
Foyer_Aise,6,40,321.57678640309183,160.78839320154592
Foyer_Aise,6,41,400.04096612795007,200.02048306397504
Foyer_Aise,6,42,1188.5230804572427,594.2615402286214
Foyer_Aise,6,43,888.9525304479488,444.4762652239744
Foyer_Aise,6,44,955.0954993625663,477.54774968128316
Foyer_Aise,6,45,941.5225521422686,470.7612760711343
Foyer_Aise,6,46,1018.9291240600345,509.46456203001725
Foyer_Aise,6,47,834.5710554508656,417.2855277254328
Foyer_Aise,7,0,0.0,0.0
Foyer_Aise,7,1,0.0,0.0
Foyer_Aise,7,2,0.0,0.0
Foyer_Aise,7,3,0.0,0.0
Foyer_Aise,7,4,0.0006666666666666666,0.0003333333333333333
Foyer_Aise,7,5,80.46741002093658,40.23370501046829
Foyer_Aise,7,6,150.8755187892561,75.43775939462805
Foyer_Aise,7,7,0.001,0.0005
Foyer_Aise,7,8,0.001,0.0005
Foyer_Aise,7,9,0.001,0.0005
Foyer_Aise,7,10,0.0014666666666666667,0.0007333333333333333
Foyer_Aise,7,11,417.86012258213265,208.93006129106632
Foyer_Aise,7,12,149.55417769737807,74.77708884868903
Foyer_Aise,7,13,1012.8693445272158,506.4346722636079
Foyer_Aise,7,14,1055.6518607558382,527.8259303779191
Foyer_Aise,7,15,658.4528904687453,329.22644523437265
Foyer_Aise,7,16,1224.4625990032919,612.2312995016459
Foyer_Aise,7,17,936.0359910810893,468.01799554054463
Foyer_Aise,7,18,20.87454325147674,10.43727162573837
Foyer_Aise,7,19,156.54607438607556,78.27303719303778
Foyer_Aise,7,20,156.5454077194089,78.27270385970445
Foyer_Aise,7,21,156.54507438607556,78.27253719303778
Foyer_Aise,7,22,156.54507438607556,78.27253719303778
Foyer_Aise,7,23,167.4420996314966,83.7210498157483
